bathrooms,bedrooms,brokerId,city,country,currency,datePriceChanged,dateSold,daysOnZillow,desktopWebHdpImageLink,festimate,hiResImageLink,hideZestimate,homeStatus,homeStatusForHDP,homeType,imageLink,isFeatured,isListingClaimedByCurrentSignedInUser,isListingOwnedByCurrentSignedInAgent,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotId,lotId64,lotSize,mediumImageLink,openHouse,open_house_info,photoCount,price,priceChange,priceForHDP,priceReduction,rentZestimate,rentalPetsFlags,shouldHighlight,state,streetAddress,tvCollectionImageLink,tvHighResImageLink,tvImageLink,watchImageLink,yearBuilt,zestimate,zillowHasRightsToImages,zipcode,zpid
3.0,3.0,13869,Brooklyn,USA,USD,,0,-1,https://www.zillowstatic.com/static/images/nophoto_p_h.png,,https://www.zillowstatic.com/static/images/nophoto_p_f.png,False,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://www.zillowstatic.com/static/images/nophoto_p_g.png,False,False,False,False,False,,False,False,40.65897,"{u'is_openHouse': True, u'is_FSBA': True}",1836.0,-73.8784,,,1703.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,4/6 1-3pm,"{u'open_house_showing': [{u'open_house_start': 1554580800000, u'open_house_end': 1554588000000}]}",0,825000.0,,825000.0,,,,False,NY,958 Ashford St,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,-1,,False,11207,30648053
2.0,3.0,13643,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISivnay5ds1s2a1000000000.jpg,,https://photos.zillowstatic.com/p_f/ISivnay5ds1s2a1000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISivnay5ds1s2a1000000000.jpg,False,False,False,False,False,,False,False,40.622148,{u'is_FSBA': True},1088.0,-73.926495,,,2600.0,https://photos.zillowstatic.com/p_c/ISivnay5ds1s2a1000000000.jpg,,,14,699000.0,,699000.0,,,64.0,False,NY,1570 E 51st St,https://photos.zillowstatic.com/p_l/ISivnay5ds1s2a1000000000.jpg,https://photos.zillowstatic.com/p_n/ISivnay5ds1s2a1000000000.jpg,https://photos.zillowstatic.com/p_m/ISivnay5ds1s2a1000000000.jpg,https://photos.zillowstatic.com/p_j/ISivnay5ds1s2a1000000000.jpg,-1,,False,11234,30763097
3.0,4.0,13501,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/IS2rlhxlotz12w0000000000.jpg,,https://photos.zillowstatic.com/p_f/IS2rlhxlotz12w0000000000.jpg,False,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/p_g/IS2rlhxlotz12w0000000000.jpg,False,False,False,False,False,,False,False,40.680801,"{u'is_openHouse': True, u'is_FSBA': True}",2028.0,-74.009201,143565.0,143565.0,-1.0,https://photos.zillowstatic.com/p_c/IS2rlhxlotz12w0000000000.jpg,Sun. 2-3pm,"{u'open_house_showing': [{u'open_house_start': 1554066000000, u'open_house_end': 1554069600000}]}",14,2150000.0,,2150000.0,,,128.0,False,NY,246 Van Brunt St # 3-FAMILY,https://photos.zillowstatic.com/p_l/IS2rlhxlotz12w0000000000.jpg,https://photos.zillowstatic.com/p_n/IS2rlhxlotz12w0000000000.jpg,https://photos.zillowstatic.com/p_m/IS2rlhxlotz12w0000000000.jpg,https://photos.zillowstatic.com/p_j/IS2rlhxlotz12w0000000000.jpg,-1,,False,11231,2085209437
3.0,4.0,14258,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISmqqwe0qjv1yv0000000000.jpg,510272.0,https://photos.zillowstatic.com/p_f/ISmqqwe0qjv1yv0000000000.jpg,False,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/p_g/ISmqqwe0qjv1yv0000000000.jpg,False,False,False,False,False,,False,False,40.622227,{u'is_FSBA': True},2110.0,-73.910951,,,3136.0,https://photos.zillowstatic.com/p_c/ISmqqwe0qjv1yv0000000000.jpg,,,13,1170000.0,,1170000.0,,1800.0,64.0,False,NY,1415 E 70th St,https://photos.zillowstatic.com/p_l/ISmqqwe0qjv1yv0000000000.jpg,https://photos.zillowstatic.com/p_n/ISmqqwe0qjv1yv0000000000.jpg,https://photos.zillowstatic.com/p_m/ISmqqwe0qjv1yv0000000000.jpg,https://photos.zillowstatic.com/p_j/ISmqqwe0qjv1yv0000000000.jpg,-1,689558.0,False,11234,30781543
4.0,8.0,13501,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISa9xwxj28ktxv0000000000.jpg,984010.0,https://photos.zillowstatic.com/p_f/ISa9xwxj28ktxv0000000000.jpg,False,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/p_g/ISa9xwxj28ktxv0000000000.jpg,False,False,False,False,False,,False,False,40.702163,{u'is_FSBA': True},4875.0,-73.91941,,,2500.0,https://photos.zillowstatic.com/p_c/ISa9xwxj28ktxv0000000000.jpg,,,10,2575000.0,,2575000.0,,2795.0,,False,NY,181 Irving Ave,https://photos.zillowstatic.com/p_l/ISa9xwxj28ktxv0000000000.jpg,https://photos.zillowstatic.com/p_n/ISa9xwxj28ktxv0000000000.jpg,https://photos.zillowstatic.com/p_m/ISa9xwxj28ktxv0000000000.jpg,https://photos.zillowstatic.com/p_j/ISa9xwxj28ktxv0000000000.jpg,-1,1329744.0,False,11237,30626115
2.0,3.0,13501,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISuws8x6ur3zxv0000000000.jpg,611093.0,https://photos.zillowstatic.com/p_f/ISuws8x6ur3zxv0000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISuws8x6ur3zxv0000000000.jpg,False,False,False,False,False,,False,False,40.618125,{u'is_FSBA': True},1050.0,-73.997218,,,1751.0,https://photos.zillowstatic.com/p_c/ISuws8x6ur3zxv0000000000.jpg,,,5,799000.0,,799000.0,,2300.0,,False,NY,1639 71st St,https://photos.zillowstatic.com/p_l/ISuws8x6ur3zxv0000000000.jpg,https://photos.zillowstatic.com/p_n/ISuws8x6ur3zxv0000000000.jpg,https://photos.zillowstatic.com/p_m/ISuws8x6ur3zxv0000000000.jpg,https://photos.zillowstatic.com/p_j/ISuws8x6ur3zxv0000000000.jpg,-1,825802.0,False,11204,30703330
4.0,5.0,0,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISmyowjtnv5njs0000000000.jpg,670807.0,https://photos.zillowstatic.com/p_f/ISmyowjtnv5njs0000000000.jpg,False,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/p_g/ISmyowjtnv5njs0000000000.jpg,False,False,False,False,False,,False,False,40.69414,{u'is_FSBO': True},,-73.920664,222561.0,222561.0,-1.0,https://photos.zillowstatic.com/p_c/ISmyowjtnv5njs0000000000.jpg,,,19,1400000.0,,1400000.0,,2300.0,192.0,False,NY,72 Menahan St # 1,https://photos.zillowstatic.com/p_l/ISmyowjtnv5njs0000000000.jpg,https://photos.zillowstatic.com/p_n/ISmyowjtnv5njs0000000000.jpg,https://photos.zillowstatic.com/p_m/ISmyowjtnv5njs0000000000.jpg,https://photos.zillowstatic.com/p_j/ISmyowjtnv5njs0000000000.jpg,-1,906497.0,False,11221,2115855706
3.0,6.0,13643,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/IS2bhrx7frtfdj1000000000.jpg,486778.0,https://photos.zillowstatic.com/p_f/IS2bhrx7frtfdj1000000000.jpg,False,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS2bhrx7frtfdj1000000000.jpg,False,False,False,False,False,,False,False,40.681042,{u'is_FSBA': True},2500.0,-73.879839,,,2008.0,https://photos.zillowstatic.com/p_c/IS2bhrx7frtfdj1000000000.jpg,,,2,650000.0,,650000.0,,2200.0,,False,NY,165 Hale Ave,https://photos.zillowstatic.com/p_l/IS2bhrx7frtfdj1000000000.jpg,https://photos.zillowstatic.com/p_n/IS2bhrx7frtfdj1000000000.jpg,https://photos.zillowstatic.com/p_m/IS2bhrx7frtfdj1000000000.jpg,https://photos.zillowstatic.com/p_j/IS2bhrx7frtfdj1000000000.jpg,-1,657809.0,False,11208,30638387
2.0,2.0,13501,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISuk7ckybtmnc31000000000.jpg,400002.0,https://photos.zillowstatic.com/p_f/ISuk7ckybtmnc31000000000.jpg,False,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/p_g/ISuk7ckybtmnc31000000000.jpg,False,False,False,False,False,,False,False,40.614582,{u'is_FSBA': True},840.0,-73.946266,1004524345.0,1004524345.0,12000.0,https://photos.zillowstatic.com/p_c/ISuk7ckybtmnc31000000000.jpg,,,9,560000.0,,560000.0,,2300.0,192.0,False,NY,1495 E 28th St # 2A,https://photos.zillowstatic.com/p_l/ISuk7ckybtmnc31000000000.jpg,https://photos.zillowstatic.com/p_n/ISuk7ckybtmnc31000000000.jpg,https://photos.zillowstatic.com/p_m/ISuk7ckybtmnc31000000000.jpg,https://photos.zillowstatic.com/p_j/ISuk7ckybtmnc31000000000.jpg,-1,540544.0,False,11229,121710722
2.0,2.0,14224,Brooklyn,USA,USD,,0,-1,https://photos.zillowstatic.com/p_h/ISesmo485e84c31000000000.jpg,971227.0,https://photos.zillowstatic.com/p_f/ISesmo485e84c31000000000.jpg,False,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/p_g/ISesmo485e84c31000000000.jpg,False,False,False,False,False,,False,False,40.703376,"{u'is_openHouse': True, u'is_FSBA': True}",1063.0,-73.989062,,,-1.0,https://photos.zillowstatic.com/p_c/ISesmo485e84c31000000000.jpg,Sun. 11:30am-1pm,"{u'open_house_showing': [{u'open_house_start': 1554057000000, u'open_house_end': 1554062400000}]}",7,1295000.0,,1295000.0,,4995.0,192.0,False,NY,133 Water St APT 5B,https://photos.zillowstatic.com/p_l/ISesmo485e84c31000000000.jpg,https://photos.zillowstatic.com/p_n/ISesmo485e84c31000000000.jpg,https://photos.zillowstatic.com/p_m/ISesmo485e84c31000000000.jpg,https://photos.zillowstatic.com/p_j/ISesmo485e84c31000000000.jpg,-1,1312470.0,False,11201,83042910
