fragment_ids,grades,gs_rating,lat,level,level_codes,link,location,lon,name,region_id,school_id,size,students_per_teacher,type
,9-12,10,40.7008,High,[u'High'],/new-york-ny/schools/queens-high-school-for-the-sciences-at-york-colleg-48681/,"[-73.7982, 40.7008]",-73.7982,Queens High School For The Sciences At York Colleg,466390,48681,434,17,Public
,9-12,10,40.5679,High,[u'High'],/new-york-ny/schools/staten-island-technical-high-school-49530/,"[-74.1157, 40.5679]",-74.1157,Staten Island Technical High School,469179,49530,1278,22,Public
,9-12,10,40.735,High,[u'High'],/new-york-ny/schools/townsend-harris-high-school-51213/,"[-73.8213, 40.735]",-73.8213,Townsend Harris High School,468830,51213,1132,22,Public
,K-5,10,40.6331,Elementary,[u'Elementary'],/new-york-ny/schools/ps-105-the-blythebourne-52322/,"[-74.0037, 40.6331]",-74.0037,Ps 105 The Blythebourne,468369,52322,1676,17,Public
,6-8,10,40.6187,Middle,[u'Middle'],/new-york-ny/schools/jhs-201-the-dyker-heights-52336/,"[-74.0133, 40.6187]",-74.0133,Jhs 201 The Dyker Heights,468385,52336,1470,17,Public
,6-8,10,40.5837,Middle,[u'Middle'],/new-york-ny/schools/is-98-bay-academy-52493/,"[-73.9542, 40.5837]",-73.9542,I.S. 98 Bay Academy,498348,52493,1494,20,Public
,9-12,10,40.718,High,[u'High'],/new-york-ny/schools/stuyvesant-high-school-54924/,"[-74.014, 40.718]",-74.014,Stuyvesant High School,469685,54924,3328,21,Public
,9-12,10,40.7702,High,[u'High'],/new-york-ny/schools/eleanor-roosevelt-high-school-55620/,"[-73.9533, 40.7702]",-73.9533,Eleanor Roosevelt High School,470090,55620,555,18,Public
,9-12,10,40.689,High,[u'High'],/new-york-ny/schools/brooklyn-technical-high-school-63480/,"[-73.9765, 40.689]",-73.9765,Brooklyn Technical High School,474199,63480,5534,21,Public
,6-8,10,40.6722,Middle,[u'Middle'],/new-york-ny/schools/ms-51-william-alexander-63641/,"[-73.9846, 40.6722]",-73.9846,Ms 51 William Alexander,538232,63641,1127,17,Public
,K-5,10,40.663,Elementary,[u'Elementary'],/new-york-ny/schools/ps-107-john-w-kimball-63645/,"[-73.9812, 40.663]",-73.9812,Ps 107 John W Kimball,477056,63645,575,14,Public
,PK-5,10,40.6578,Elementary,[u'Elementary'],/new-york-ny/schools/ps-172-beacon-school-of-excellence-63651/,"[-74.0004, 40.6578]",-74.0004,P.S. 172 Beacon School Of Excellence,477062,63651,589,12,Public
,K-5,10,40.6715,Elementary,[u'Elementary'],/new-york-ny/schools/ps-321-william-penn-63654/,"[-73.9781, 40.6715]",-73.9781,Ps 321 William Penn,477065,63654,1465,17,Public
,6-8,10,40.6834,Middle,[u'Middle'],/new-york-ny/schools/the-math-and-science-exploratory-school-63773/,"[-73.9799, 40.6834]",-73.9799,The Math And Science Exploratory School,555363,63773,525,9,Public
,6-8,10,40.6612,Middle,[u'Middle'],/new-york-ny/schools/new-voices-school-of-academic-and-creative-arts-63774/,"[-73.9887, 40.6612]",-73.9887,New Voices School of Academic and Creative Arts,557966,63774,541,14,Public
,K-5,10,40.6069,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/ps-748-brooklyn-school-for-global-scholars-159759/,"[-74.0073, 40.6069]",-74.0073,Ps 748 Brooklyn School For Global Scholars,693129,159759,617,16,Public
,9-12,9,40.705,High,[u'High'],/new-york-ny/schools/brooklyn-latin-school-49738/,"[-73.939, 40.705]",-73.939,Brooklyn Latin School,467081,49738,666,16,Public
,PK-8,9,40.6065,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-47-chris-galas-51382/,"[-73.8208, 40.6065]",-73.8208,Ps 47 Chris Galas,468905,51382,221,13,Public
,K-8,9,40.6629,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/hellenic-classical-charter-school-52234/,"[-73.9921, 40.6629]",-73.9921,Hellenic Classical Charter School,516684,52234,477,14,Charter
,PK-5,9,40.6138,Elementary,[u'Elementary'],/new-york-ny/schools/ps-204-vince-lombardi-52337/,"[-74.0065, 40.6138]",-74.0065,Ps 204 Vince Lombardi,468386,52337,1166,16,Public
,PK-8,9,40.6101,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-229-dyker-52342/,"[-74.0136, 40.6101]",-74.0136,Ps 229 Dyker,468391,52342,1188,18,Public
,K-5,9,40.6122,Elementary,[u'Elementary'],/new-york-ny/schools/ps-247-52343/,"[-73.9871, 40.6122]",-73.9871,Ps 247,468392,52343,2013,15,Public
,6-8,9,40.6263,Middle,[u'Middle'],/new-york-ny/schools/jhs-259-william-mckinley-52344/,"[-74.0151, 40.6263]",-74.0151,Jhs 259 William Mckinley,468393,52344,1618,15,Public
,PK-5,9,40.5775,Elementary,[u'Elementary'],/new-york-ny/schools/ps-100-the-coney-island-school-52470/,"[-73.9708, 40.5775]",-73.9708,Ps 100 The Coney Island School,468449,52470,762,15,Public
,K-5,9,40.5976,Elementary,[u'Elementary'],/new-york-ny/schools/ps-101-the-verrazano-52471/,"[-73.9917, 40.5976]",-73.9917,P.S. 101 the Verrazano,468450,52471,888,14,Public
,6-8,9,40.5786,Middle,[u'Middle'],/new-york-ny/schools/mark-twain-is-239-for-the-gifted-and-talented-52486/,"[-73.9926, 40.5786]",-73.9926,Mark Twain is 239 for the Gifted and Talented,468470,52486,1344,18,Public
,PK-5,9,40.5803,Elementary,[u'Elementary'],/new-york-ny/schools/ps-195-manhattan-beach-52664/,"[-73.9437, 40.5803]",-73.9437,Ps 195 Manhattan Beach,470603,52664,456,19,Public
,6-8,9,40.6043,Middle,[u'Middle'],/new-york-ny/schools/jhs-234-arthur-w-cunningham-52671/,"[-73.9553, 40.6043]",-73.9553,Jhs 234 Arthur W Cunningham,470612,52671,1992,19,Public
,PK-5,9,40.6156,Elementary,[u'Elementary'],/new-york-ny/schools/ps-236-mill-basin-52672/,"[-73.9122, 40.6156]",-73.9122,Ps 236 Mill Basin,470613,52672,579,15,Public
,PK-5,9,40.5959,Elementary,[u'Elementary'],/new-york-ny/schools/ps-277-gerritsen-beach-52680/,"[-73.928, 40.5959]",-73.928,Ps 277 Gerritsen Beach,470620,52680,439,14,Public
,K-5,9,40.6322,Elementary,[u'Elementary'],/new-york-ny/schools/ps-134-52684/,"[-73.9732, 40.6322]",-73.9732,Ps 134,470624,52684,546,14,Public
,K-10,9,40.6745,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/achievement-first-brownsville-charter-school-53180/,"[-73.9135, 40.6745]",-73.9135,Achievement First Brownsville Charter School,566825,53180,817,12,Charter
,K-12,9,40.7192,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/new-explorations-into-science-tech-and-math-high-school-54639/,"[-73.9797, 40.7192]",-73.9797,New Explorations Into Science  Tech and Math High School,509257,54639,1738,18,Public
,9-12,9,40.7419,High,[u'High'],/new-york-ny/schools/manhattan-village-academy-54767/,"[-73.992, 40.7419]",-73.992,Manhattan Village Academy,475283,54767,441,16,Public
,9-12,9,40.7391,High,[u'High'],/new-york-ny/schools/baruch-college-campus-high-school-54920/,"[-73.9845, 40.7391]",-73.9845,Baruch College Campus High School,469682,54920,446,19,Public
,9-12,9,40.7048,High,[u'High'],/new-york-ny/schools/millennium-high-school-55621/,"[-74.0112, 40.7048]",-74.0112,Millennium High School,470091,55621,641,16,Public
,9-12,9,40.7173,High,[u'High'],/new-york-ny/schools/high-school-for-dual-language-and-asian-studies-55626/,"[-73.9894, 40.7173]",-73.9894,High School for Dual Language and Asian Studies,470095,55626,420,16,Public
,9-12,9,40.7246,High,[u'High'],/new-york-ny/schools/nyc-ischool-55640/,"[-74.0049, 40.7246]",-74.0049,NYC Ischool,470106,55640,461,13,Public
,PK-5,9,40.6855,Elementary,[u'Elementary'],/new-york-ny/schools/ps-11-purvis-j-behan-63485/,"[-73.9658, 40.6855]",-73.9658,Ps 11 Purvis J Behan,474204,63485,832,17,Public
,PK-5,9,40.6804,Elementary,[u'Elementary'],/new-york-ny/schools/ps-58-the-carroll-63642/,"[-73.9955, 40.6804]",-73.9955,Ps 58 The Carroll,477053,63642,1001,15,Public
